Nationality,Death
Germany,573707
Italy,63999
United Kingdom,57858
United States,20421
Russian Federation,2932395
Belarus,2932395
Ukraine,2932395
Georgia,2932395
Uzbekistan,2932395
Armenia,2932395
Azerbaijan,2932395
Kazakhstan,2932395
Kyrgyzstan,2932395
"Moldova, Republic of",2932395
Tajikistan,2932395
Turkmenistan,2932395
