Nationality,Death
Germany,879945
Italy,106989
United Kingdom,72516
United States,27116
Russian Federation,2081187
Belarus,2081187
Ukraine,2081187
Georgia,2081187
Uzbekistan,2081187
Armenia,2081187
Azerbaijan,2081187
Kazakhstan,2081187
Kyrgyzstan,2081187
"Moldova, Republic of",2081187
Tajikistan,2081187
Turkmenistan,2081187
