Nationality,Death
Germany,1548328
Italy,24890
Japan,360894
United Kingdom,47832
United States,79453
Russian Federation,720735
Belarus,720735
Ukraine,720735
Georgia,720735
Uzbekistan,720735
Armenia,720735
Azerbaijan,720735
Kazakhstan,720735
Kyrgyzstan,720735
"Moldova, Republic of",720735
Tajikistan,720735
Turkmenistan,720735
