Nationality,Death
Germany,1844454
Italy,41757
United Kingdom,134234
United States,133855
Russian Federation,1857502
Belarus,1857502
Ukraine,1857502
Georgia,1857502
Uzbekistan,1857502
Armenia,1857502
Azerbaijan,1857502
Kazakhstan,1857502
Kyrgyzstan,1857502
"Moldova, Republic of",1857502
Tajikistan,1857502
Turkmenistan,1857502
